iter	MultiClass
0	1.745636448
1	1.508338513
2	1.349623652
3	1.231832112
4	1.13824832
5	1.061572256
6	0.997643884
7	0.9439507616
8	0.8982716709
9	0.8606043723
10	0.8250659809
11	0.7955940612
12	0.7689284219
13	0.7456098423
14	0.72547932
15	0.7065106035
16	0.6873842466
17	0.6697961119
18	0.6558738149
19	0.6438243136
20	0.6332375813
21	0.6213962716
22	0.6116476227
23	0.6011708565
24	0.5926505765
25	0.5858458953
26	0.5799513401
27	0.5742478709
28	0.5686265076
29	0.562157514
30	0.5561320478
31	0.5514808396
32	0.5464203304
33	0.5423481694
34	0.538481024
35	0.534292797
36	0.5310713982
37	0.5284165616
38	0.5250915388
39	0.522008022
40	0.5194887607
41	0.5171102461
42	0.5151325635
43	0.5129584555
44	0.510576081
45	0.5091429846
46	0.5066219135
47	0.5051598017
48	0.5037907685
49	0.5019546285
50	0.5002198997
51	0.4985775011
52	0.4961694519
53	0.4951076569
54	0.4942119018
55	0.492971
56	0.4922883226
57	0.4909930551
58	0.489682012
59	0.4886697899
60	0.4876484398
61	0.4866320883
62	0.4856357942
63	0.4843211337
64	0.4834048972
65	0.4819700367
66	0.4810277975
67	0.4800960061
68	0.4788120293
69	0.4778333777
70	0.4770619424
71	0.4763414056
72	0.4755039834
73	0.4743199564
74	0.4734232108
75	0.4725899623
76	0.4716877639
77	0.4709832121
78	0.4703292804
79	0.4697869229
80	0.4690204732
81	0.4684399401
82	0.4679506127
83	0.4676704056
84	0.466750336
85	0.4665461932
86	0.4661597592
87	0.4652961754
88	0.4646027388
89	0.4645064118
90	0.4640806961
91	0.4637384692
92	0.4635788263
93	0.4631644367
94	0.4627099906
95	0.4624907073
96	0.4616827229
97	0.4610848178
98	0.4603433524
99	0.4599191959
100	0.4596436138
101	0.4589133628
102	0.4581438279
103	0.4576433627
104	0.4573214504
105	0.4570023617
106	0.4566740262
107	0.4563692008
108	0.4561704611
109	0.4557990951
110	0.4550368388
111	0.4545452382
112	0.4542320552
113	0.4539962644
114	0.453787362
115	0.4533958758
116	0.4527006188
117	0.4522759611
118	0.4519210249
119	0.4515740883
120	0.4511925007
121	0.4507686035
122	0.4500273448
123	0.4497977666
124	0.4494726979
125	0.4491057686
126	0.4486957631
127	0.448436932
128	0.4480088902
129	0.4476946983
130	0.4473558937
131	0.4470413398
132	0.4468556421
133	0.446503618
134	0.4461901309
135	0.4460669525
136	0.4457234764
137	0.4452224694
138	0.4450985176
139	0.4448795292
140	0.4446523641
141	0.444328972
142	0.4437112991
143	0.4435032442
144	0.4429922919
145	0.4426971488
146	0.4426442389
147	0.4424983108
148	0.4422680048
149	0.4419705958
150	0.4417945635
151	0.4416200603
152	0.4415169605
153	0.4412708194
