iter	Passed	Remaining
0	229	229267
1	284	142005
2	347	115478
3	413	102933
4	494	98384
5	553	91614
6	613	86995
7	683	84714
8	753	82989
9	820	81232
10	895	80506
11	964	79408
12	1031	78341
13	1102	77624
14	1168	76726
15	1251	76992
16	1314	76020
17	1375	75055
18	1456	75200
19	1536	75274
20	1601	74682
21	1666	74075
22	1743	74045
23	1807	73500
24	1887	73615
25	1954	73210
26	2017	72720
27	2085	72390
28	2153	72090
29	2222	71873
30	2299	71878
31	2381	72036
32	2457	72013
33	2530	71889
34	2603	71789
35	2678	71718
36	2750	71591
37	2815	71271
38	2884	71076
39	2952	70850
40	3027	70820
41	3098	70686
42	3163	70410
43	3239	70380
44	3301	70070
45	3369	69889
46	3440	69764
47	3512	69667
48	3584	69563
49	3652	69395
50	3718	69185
51	3788	69064
52	3858	68949
53	3929	68843
54	4007	68860
55	4098	69094
56	4183	69214
57	4301	69859
58	4418	70479
59	4543	71183
60	4660	71737
61	4764	72078
62	4871	72451
63	4974	72759
64	5094	73280
65	5202	73627
66	5297	73774
67	5408	74127
68	5498	74193
69	5588	74253
70	5675	74267
71	5748	74096
72	5827	73995
73	5915	74020
74	5991	73898
75	6066	73754
76	6134	73538
77	6198	73267
78	6255	72924
79	6340	72916
80	6476	73483
81	6575	73616
82	6657	73552
83	6740	73504
84	6822	73441
85	6907	73417
86	6985	73307
87	7076	73340
88	7148	73169
89	7216	72966
90	7277	72694
91	7347	72514
92	7427	72439
93	7488	72180
94	7557	71991
95	7617	71734
96	7679	71492
97	7749	71323
98	7816	71137
99	7889	71004
100	7951	70774
101	8016	70573
102	8073	70312
103	8140	70132
104	8198	69882
105	8266	69716
106	8317	69417
107	8384	69245
108	8453	69099
109	8520	68939
110	8590	68802
111	8658	68648
112	8738	68589
113	8805	68433
114	8868	68247
115	8937	68108
116	9000	67930
117	9067	67775
118	9138	67652
119	9210	67545
120	9277	67396
121	9351	67297
122	9413	67118
123	9478	66962
124	9552	66867
125	9621	66737
126	9682	66555
127	9740	66358
128	9797	66152
129	9859	65980
130	9932	65888
131	9994	65718
132	10061	65590
133	10128	65457
134	10186	65267
135	10246	65098
136	10304	64913
137	10373	64797
138	10460	64794
139	10533	64706
140	10607	64623
141	10689	64589
142	10770	64547
143	10853	64516
144	10945	64543
145	11036	64553
146	11119	64525
147	11204	64503
148	11281	64431
149	11405	64629
150	11488	64591
151	11578	64595
152	11657	64537
153	11749	64544
154	11823	64458
155	11914	64459
156	12008	64476
157	12085	64405
158	12156	64297
159	12223	64171
160	12293	64064
161	12360	63939
162	12401	63682
163	12447	63451
164	12536	63443
165	12626	63438
166	12703	63366
167	12770	63243
168	12845	63162
169	12904	63006
170	12966	62861
171	13014	62649
172	13074	62502
173	13148	62417
174	13222	62334
175	13294	62242
176	13362	62132
177	13429	62017
178	13504	61939
179	13571	61824
180	13633	61690
181	13708	61611
182	13783	61536
183	13849	61419
184	13915	61304
185	13976	61167
186	14044	61061
187	14128	61021
188	14194	60907
189	14257	60783
190	14330	60696
191	14397	60589
192	14460	60464
193	14527	60355
194	14583	60202
195	14648	60090
196	14704	59939
197	14769	59822
198	14838	59726
199	14905	59622
200	14969	59505
201	15036	59402
202	15106	59311
203	15168	59185
204	15247	59130
205	15319	59045
206	15422	59081
207	15499	59016
208	15573	58942
209	15646	58859
210	15725	58803
211	15806	58753
212	15881	58680
213	15948	58577
214	16021	58495
215	16090	58403
216	16170	58349
217	16260	58329
218	16363	58356
219	16478	58424
220	16563	58384
221	16648	58346
222	16729	58292
223	16828	58297
224	16913	58256
225	16988	58183
226	17065	58114
227	17132	58011
228	17205	57927
229	17276	57840
230	17350	57759
231	17430	57700
232	17513	57651
233	17606	57633
234	17704	57634
235	17808	57652
236	17916	57681
237	18146	58097
238	18344	58409
239	18603	58911
240	18715	58943
241	18817	58941
242	18891	58849
243	18968	58769
244	19052	58712
245	19138	58659
246	19211	58567
247	19285	58479
248	19363	58402
249	19431	58294
250	19504	58204
251	19573	58100
252	19650	58019
253	19716	57906
254	19801	57850
255	19875	57762
256	19938	57643
257	20004	57531
258	20068	57417
259	20138	57316
260	20214	57236
261	20285	57140
262	20348	57021
263	20411	56905
264	20474	56787
265	20542	56684
266	20611	56585
267	20679	56483
268	20746	56377
269	20804	56248
270	20873	56150
271	20945	56060
272	21013	55958
273	21076	55844
274	21134	55717
275	21193	55593
276	21251	55469
277	21305	55332
278	21362	55205
279	21418	55075
280	21475	54949
281	21549	54867
282	21626	54791
283	21700	54709
284	21779	54640
285	21859	54571
286	21924	54468
287	21999	54387
288	22073	54305
289	22146	54220
290	22240	54188
291	22323	54127
292	22413	54083
293	22498	54026
294	22600	54011
295	22681	53944
296	22758	53870
297	22820	53758
298	22898	53684
299	22978	53616
300	23047	53523
301	23122	53441
302	23186	53337
303	23254	53240
304	23316	53131
305	23380	53027
306	23445	52924
307	23506	52813
308	23575	52720
309	23643	52624
310	23711	52531
311	23772	52421
312	23833	52312
313	23896	52207
314	23953	52088
315	24019	51991
316	24100	51925
317	24168	51833
318	24234	51736
319	24297	51632
320	24366	51541
321	24424	51428
322	24487	51325
323	24556	51235
324	24611	51116
325	24679	51023
326	24752	50942
327	24814	50840
328	24879	50742
329	24938	50632
330	25001	50531
331	25064	50431
332	25132	50339
333	25195	50239
334	25252	50128
335	25321	50039
336	25386	49945
337	25444	49834
338	25508	49737
339	25572	49640
340	25637	49546
